,Vmag,Per
0,24.437,25.35
1,25.069,15.7
2,24.881,14.59
3,24.794,12.11
4,25.036,8.57
5,24.766,9.95
6,25.297,10.91
7,25.09,8.67
8,24.889,14.19
9,25.461,7.85
10,25.612,21.53
11,24.02,25.35
12,23.622,27.1
13,24.232,23.99
14,24.194,21.48
15,24.718,17.54
16,24.666,24.27
17,23.793,29.72
18,24.124,28.58
19,24.478,28.58
20,24.395,25.35
21,24.576,17.3
22,24.541,28.58
23,24.454,29.72
24,24.509,29.72
25,24.784,13.55
26,25.038,15.7
27,24.45,22.75
28,24.339,17.54
29,24.372,28.58
30,24.882,14.83
31,24.161,19.63
32,24.809,21.83
33,24.184,16.03
34,24.901,11.4
35,24.645,14.59
36,25.168,17.26
37,24.444,19.63
38,25.031,12.13
39,25.052,12.13
40,24.481,13.55
41,24.838,14.59
42,25.449,8.45
43,25.709,13.55
44,25.354,11.32
45,25.633,7.13
46,25.306,10.76
47,25.209,7.18
48,25.607,7.85
49,25.928,5.83
50,25.642,8.45
51,23.795,27.99
52,24.327,15.81
53,24.58,18.66
54,24.241,16.6
55,25.205,8.91
56,25.048,9.33
57,25.081,7.33
58,24.988,5.92
59,24.051,23.93
