,RAJ2000,DEJ2000,Vmag,Per,logP,M,dist
0,210.89823,54.376252,25.033,12.91,1.1109262422664203,-4.431843451522401,7815714.565400338
1,210.89089,54.370105,24.980999999999998,18.75,1.2730012720637376,-4.905872386818353,9492366.049682507
2,210.92781,54.374184,25.566999999999997,7.85,0.8948696567452525,-3.7999319638221944,7471131.710479906
3,210.86662,54.34473000000001,24.230999999999998,27.1,1.4329692908744058,-5.373738841836453,8335809.256643651
4,210.86653,54.343217,23.730999999999998,29.72,1.4730488050885375,-5.490961399030259,6988633.727469827
5,210.87993,54.33403000000001,24.201,17.54,1.2440295890300217,-4.821137458314077,6374226.5022164425
6,210.86534,54.33521800000001,24.163,28.58,1.4560622244549517,-5.4412798981715085,8334047.658116207
7,210.87293,54.334789,24.383000000000003,18.75,1.2730012720637376,-4.905872386818353,7207331.160509173
8,210.87143,54.342626,24.534000000000002,27.1,1.4329692908744058,-5.373738841836453,9584021.258591123
9,210.88437,54.334659,23.834,27.1,1.4329692908744058,-5.373738841836453,6943009.641846566
10,210.87087,54.335143,25.271,21.48,1.332034277027518,-5.078529165134519,11746428.324933527
11,210.86602,54.334089,24.857,17.26,1.2370407913791908,-4.800696972734248,8541603.241865117
12,210.87848,54.346167,24.46,14.83,1.171141151028382,-4.607957002913203,6510156.0761866
13,210.86574,54.331721,24.653000000000002,28.58,1.4560622244549517,-5.4412798981715085,10443738.274309475
14,210.88702,54.336043,24.791,17.3,1.2380461031287957,-4.80363725822364,8297121.5354955625
15,210.87996,54.33366700000001,24.54,21.83,1.3390537357091392,-5.099059326562618,8468604.779896213
16,210.87273,54.342673,25.000999999999998,17.34,1.2390490931401914,-4.80657075320932,9151960.786814794
17,210.86498,54.332821,24.22,28.58,1.4560622244549517,-5.4412798981715085,8555708.504957594
18,210.86675,54.341149,24.54,23.93,1.3789426986134374,-5.215724568822516,8936036.08314359
19,210.86862,54.343255000000006,24.524,12.45,1.0951693514317549,-4.385758485841557,6052735.516502889
20,210.87076,54.335197,24.704,14.59,1.1640552918934517,-4.587232636762608,7215169.321947269
21,210.86604,54.335072,25.145,15.7,1.1958996524092338,-4.680369428588924,9227283.958791045
22,210.88367,54.335931,24.995,16.03,1.2049335223541449,-4.706791239258608,8716823.408862116
23,210.8651,54.340391,24.845,12.05,1.080987046910887,-4.344278791403265,6884236.130391791
24,210.88321,54.35035,25.006,16.03,1.2049335223541449,-4.706791239258608,8761092.140777772
25,210.86694,54.340762,24.849,11.4,1.0569048513364727,-4.273844391101106,6676807.8538012905
26,210.89196,54.338623,24.971999999999998,10.0,1.0,-4.10741193,6544589.119618111
27,210.86653,54.340648,24.871,17.34,1.2390490931401914,-4.80657075320932,8620136.652885837
28,210.86734,54.331254,24.809,25.35,1.4039779636693548,-5.288946459043046,10461387.565608786
29,210.8679,54.33369,25.070999999999998,14.19,1.1519823954574742,-4.551922433515127,8405905.1784424
30,210.88807000000003,54.334732,25.428,7.59,0.8802417758954804,-3.757149070038217,6871156.08393541
31,210.86498,54.341721,25.070999999999998,12.05,1.080987046910887,-4.344278791403265,7639338.573638506
32,210.87995,54.335874,25.041,12.05,1.080987046910887,-4.344278791403265,7534522.918970847
33,210.89942,54.340348,25.272,10.74,1.0310042813635367,-4.198091700367789,7834627.27369538
34,210.87243,54.344081,25.49,15.7,1.1958996524092338,-4.680369428588924,10816179.493091468
35,210.88829,54.350614,24.868000000000002,17.54,1.2440295890300217,-4.821137458314077,8666175.737733368
36,210.86294,54.342363,25.363000000000003,12.13,1.083860800866573,-4.35268380314147,8772770.348071732
37,210.88518,54.333505,25.193,7.82,0.893206753059848,-3.7950683863514527,6274999.235911427
38,210.87115,54.346726,24.869,11.38,1.0561422620590524,-4.2716140081501,6731669.7487911275
39,210.87107000000003,54.34571999999999,25.034000000000002,11.3,1.0530784434834195,-4.262653104924209,7233202.454256469
40,210.88305,54.347607,25.195999999999998,15.7,1.1958996524092338,-4.680369428588924,9446564.314909099
41,210.87151,54.344822,25.151,11.86,1.0740846890282438,-4.324091120531121,7852685.857951844
42,210.88347,54.33325,25.374000000000002,7.59,0.8802417758954804,-3.757149070038217,6702391.83588265
43,210.89002,54.336543000000006,25.435,9.04,0.9561684304753632,-3.9792155492243966,7635598.954966765
44,210.865,54.332763,25.041,15.63,1.1939589780191868,-4.674693441263668,8772809.286268627
45,210.86841,54.346185,25.166,8.07,0.9068735347220704,-3.835040305334698,6312596.948781816
46,210.8746,54.334348,25.592,8.45,0.9268567089496924,-3.893486093157777,7890367.270134716
47,210.8652,54.34256800000001,25.296999999999997,9.82,0.9921114877869496,-4.084340004299306,7520868.59726946
48,210.88396,54.331409,25.066,5.22,0.7176705030022621,-3.2816687477723407,4672332.590281547
49,210.86667000000003,54.344947,24.384,21.53,1.3330440298234874,-5.081482439574043,7818014.794071803
50,210.87993,54.332249,26.034000000000002,6.05,0.7817553746524689,-3.4691009729270395,7954633.861350285
51,210.87354,54.37925500000001,24.256,24.21,1.3839947894417328,-5.230500671219968,7894054.751482883
52,210.88251,54.381416,23.86,28.58,1.4560622244549517,-5.4412798981715085,7248630.79279593
53,210.88318,54.381916,24.706,19.91,1.2990712600274097,-4.9821205828116035,8662118.417588085
54,210.85293,54.380667,24.491999999999997,14.29,1.1550322287909702,-4.560842433404779,6464999.366808175
55,210.88326,54.376349,24.368000000000002,27.1,1.4329692908744058,-5.373738841836453,8878667.01148237
56,210.88325,54.37009499999999,23.995,19.91,1.2990712600274097,-4.9821205828116035,6243442.502819963
57,210.87203,54.378396,24.535,25.82,1.4119562379304016,-5.312280916289129,9320864.257413842
58,210.87601,54.372929000000006,25.083000000000002,15.63,1.1939589780191868,-4.674693441263668,8944142.054790445
59,210.86916,54.363964,24.596,14.83,1.171141151028382,-4.607957002913203,6930928.211591985
60,210.88219,54.381774,24.436999999999998,25.35,1.4039779636693548,-5.288946459043046,8814329.711079601
61,210.88315,54.375772,25.069000000000003,15.7,1.1958996524092338,-4.680369428588924,8909921.663583245
62,210.88421,54.372104,24.881,14.59,1.1640552918934517,-4.587232636762608,7827922.681300028
63,210.88457,54.372216,24.794,12.11,1.0831441431430522,-4.350587758500435,6743999.846008769
64,210.86918,54.389278,25.035999999999998,8.57,0.9329808219231982,-3.9113975922708324,6158564.843294287
65,210.88531,54.379941,24.766,9.95,0.9978230807457256,-4.1010449855199065,5934839.7539434675
66,210.86823,54.38893100000001,25.296999999999997,10.91,1.0378247505883418,-4.218039867392015,7998489.397888246
67,210.87079,54.370243,25.09,8.67,0.9380190974762104,-3.9261332884425917,6356625.967252042
68,210.85381,54.37673,24.889,14.19,1.1519823954574742,-4.551922433515127,7730088.866999671
69,210.88865,54.385728,25.461,7.85,0.8948696567452525,-3.7999319638221944,7115188.214801404
70,210.8677,54.387388,25.612,21.53,1.3330440298234874,-5.081482439574043,13762473.25217392
71,210.85554,54.341996,24.02,25.35,1.4039779636693548,-5.288946459043046,7274267.906757928
72,210.86445,54.355259,23.622,27.1,1.4329692908744058,-5.373738841836453,6297204.083002822
73,210.84581,54.346983,24.232,23.99,1.3800302479678306,-5.2189053787424,7765708.343828598
74,210.85583,54.35163299999999,24.194000000000003,21.48,1.332034277027518,-5.078529165134519,7153290.016238224
75,210.85438,54.33736999999999,24.718000000000004,17.54,1.2440295890300217,-4.821137458314077,8087745.778702213
76,210.86133,54.34485600000001,24.666,24.27,1.3850697763319348,-5.233644739073337,9548363.58478295
77,210.84611,54.343748,23.793000000000003,29.72,1.4730488050885375,-5.490961399030259,7191049.525690953
78,210.84348,54.34302099999999,24.124000000000002,28.58,1.4560622244549517,-5.4412798981715085,8185702.933033921
79,210.8701,54.356967,24.478,28.58,1.4560622244549517,-5.4412798981715085,9635094.524560532
80,210.84117,54.337829000000006,24.395,25.35,1.4039779636693548,-5.288946459043046,8645483.610155402
81,210.84252,54.3417,24.576,17.3,1.2380461031287957,-4.80363725822364,7514973.468312846
82,210.86873,54.358308,24.541,28.58,1.4560622244549517,-5.4412798981715085,9918727.972842775
83,210.83849,54.362579,24.454,29.72,1.4730488050885375,-5.490961399030259,9749723.06062228
84,210.8445,54.341831000000006,24.509,29.72,1.4730488050885375,-5.490961399030259,9999822.237544972
85,210.84392000000003,54.34253199999999,24.784000000000002,13.55,1.1319392952104246,-4.4933013770697245,7169027.980274456
86,210.84771,54.355847,25.038,15.7,1.1958996524092338,-4.680369428588924,8783627.014107347
87,210.85792,54.344679000000006,24.45,22.75,1.3569814009931311,-5.15149326470559,8323359.4997799415
88,210.84596,54.34615,24.339000000000002,17.54,1.2440295890300217,-4.821137458314077,6792466.288537084
89,210.86191,54.354703,24.372,28.58,1.4560622244549517,-5.4412798981715085,9176054.40063199
90,210.86519,54.353799,24.881999999999998,14.83,1.171141151028382,-4.607957002913203,7906629.720141135
